"chr"	"start"	"end"	"width"	"strand"	"annotation"	"geneCh"	"geneStart"	"geneEnd"	"geneLen"	"geneStr"	"geneID"	"distanceToTSS"	"MACSqValue"	"SRX_ID"	"TF"	"cell_type"
"chr2"	1625420	1625589	170	"*"	"Distal Intergenic"	2	1552445	1554701	2257	1	102723730	72975	238	"SRX5527654"	"ERG"	"HAEC"
"chr2"	1625444	1625905	462	"*"	"Distal Intergenic"	2	1552445	1554701	2257	1	102723730	72999	1000	"SRX5904135"	"TCF21"	"HCASMC"
"chr2"	1625558	1625850	293	"*"	"Distal Intergenic"	2	1552445	1554701	2257	1	102723730	73113	630	"SRX5146789"	"TCF21"	"HCASMC"
"chr2"	1628952	1629150	199	"*"	"Distal Intergenic"	2	1552445	1554701	2257	1	102723730	76507	303	"SRX2207673"	"RELA"	"HUVEC"
"chr2"	1631484	1631881	398	"*"	"Distal Intergenic"	2	1552445	1554701	2257	1	102723730	79039	1000	"SRX7299332"	"TCF21"	"Coronaryarterysmoothmuscle"
"chr2"	1631556	1631786	231	"*"	"Distal Intergenic"	2	1552445	1554701	2257	1	102723730	79111	296	"SRX699733"	"TCF21"	"HCASMC"
"chr2"	1742752	1743405	654	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1447	463	"SRX3040158"	"SMC1A"	"Coronaryarteryendothelialcells"
"chr2"	1742770	1743026	257	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1826	212	"SRX2207671"	"RELA"	"HUVEC"
"chr2"	1742774	1743017	244	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1835	244	"SRX2207670"	"RBPJ"	"HUVEC"
"chr2"	1742932	1743254	323	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1598	661	"SRX3040157"	"STAG2"	"Coronaryarteryendothelialcells"
"chr2"	1742978	1743247	270	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1605	595	"SRX2559014"	"RAD21"	"HUVEC"
"chr2"	1743003	1743276	274	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1576	892	"SRX080344"	"CTCF"	"HPAF"
"chr2"	1743021	1743252	232	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1600	606	"SRX080414"	"CTCF"	"HPAF"
"chr2"	1743036	1743299	264	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1553	479	"SRX038603"	"CTCF"	"HUVEC"
"chr2"	1743042	1743323	282	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1529	356	"SRX038602"	"CTCF"	"HUVEC"
"chr2"	1743066	1743247	182	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1605	455	"SRX031246"	"CTCF"	"HUVEC"
"chr2"	1743097	1743241	145	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1611	530	"SRX080329"	"CTCF"	"AoAF"
"chr2"	1743107	1743346	240	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1506	541	"SRX2355085"	"RELA"	"HAEC"
"chr2"	1743181	1743594	414	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1258	667	"SRX5527617"	"EP300"	"HUVEC"
"chr2"	1743307	1743572	266	"*"	"Promoter (1-2kb)"	2	1631887	1744852	112966	2	7837	1280	347	"SRX5527609"	"EP300"	"HAEC"
"chr2"	1743659	1743935	277	"*"	"Promoter (<=1kb)"	2	1631887	1744852	112966	2	7837	917	229	"SRX096362"	"Epitope"	"tagsHUVEC"
"chr2"	1744367	1744735	369	"*"	"Promoter (<=1kb)"	2	1631887	1744852	112966	2	7837	117	774	"SRX7299332"	"TCF21"	"Coronaryarterysmoothmuscle"
"chr2"	1750786	1751197	412	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-5934	1000	"SRX199885"	"CTCF"	"HCM"
"chr2"	1750810	1751193	384	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-5958	1000	"SRX199905"	"CTCF"	"HCM"
"chr2"	1750829	1751113	285	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-5977	1000	"SRX2559011"	"RAD21"	"HUVEC"
"chr2"	1750837	1751180	344	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-5985	1000	"SRX080414"	"CTCF"	"HPAF"
"chr2"	1750861	1751127	267	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-6009	580	"SRX038603"	"CTCF"	"HUVEC"
"chr2"	1750883	1751103	221	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-6031	1000	"SRX031246"	"CTCF"	"HUVEC"
"chr2"	1750885	1751140	256	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-6033	1000	"SRX080412"	"CTCF"	"HUVEC"
"chr2"	1753108	1753376	269	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-8256	643	"SRX2207673"	"RELA"	"HUVEC"
"chr2"	1755711	1756167	457	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10859	1000	"SRX2207673"	"RELA"	"HUVEC"
"chr2"	1755728	1756126	399	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10876	525	"SRX393516"	"TAL1"	"Primaryendothelialcells"
"chr2"	1755733	1756206	474	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10881	1000	"SRX7054671"	"RELA"	"HAEC"
"chr2"	1755744	1756147	404	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10892	791	"SRX7054666"	"RELA"	"HAEC"
"chr2"	1755747	1756194	448	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10895	1000	"SRX7055007"	"RELA"	"HAEC"
"chr2"	1755753	1756123	371	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10901	490	"SRX7054662"	"RELA"	"HAEC"
"chr2"	1755760	1756187	428	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10908	890	"SRX7055006"	"RELA"	"HAEC"
"chr2"	1755769	1756156	388	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10917	687	"SRX7054615"	"RELA"	"HAEC"
"chr2"	1755774	1756135	362	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10922	428	"SRX7054665"	"RELA"	"HAEC"
"chr2"	1755777	1756176	400	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10925	1000	"SRX699732"	"TCF21"	"HCASMC"
